no,headline,city,country,museum,year
AR-020,Vermeer fills the Rijksmuseum,Amsterdam,Netherlands,Rijksmuseum,2023
AR-018,The Morozov Collection reaches Paris,Paris,France,Fondation Louis Vuitton,2021
AR-016,"Hilma af Klint, painting for the future",New York,United States,Solomon R. Guggenheim Museum,2018
AR-011,"The Shchukin Collection, icons of modern art",Paris,France,Fondation Louis Vuitton,2016
AR-007,"Inventing Abstraction, 1910–1925",New York,United States,The Museum of Modern Art,2012
AR-005b,"0,10: The Last Futurist Exhibition",Petrograd,Russia,Dobychina Art Bureau,1915
AR-006,OBMOKhU: construction as art,Moscow,Russia,OBMOKhU,1921
AR-001,Unknown Avant-Garde opens in Yaroslavl,Yaroslavl,Russia,Yaroslavl State Art Museum,2005
AR-002,"Known and Unknown, Nizhny Novgorod",Nizhny Novgorod,Russia,Nizhny Novgorod State Art Museum,2005
AR-003,"Masters of the Russian Avant-Garde, Perm",Perm,Russia,Perm State Art Gallery,2005
AR-004,Theatre of the Russian Avant-Garde,Yekaterinburg,Russia,Yekaterinburg Museum of Fine Arts,2005
AR-005,Russian Avant-Garde and Its National Origins,Yekaterinburg,Russia,Yekaterinburg Museum of Fine Arts,2009
AR-009,Henri Matisse: The Cut-Outs,New York,United States,The Museum of Modern Art,2014
AR-012,Monet at the Fondation Beyeler,Riehen,Switzerland,Fondation Beyeler,2017
